,lr,momentum,model,data,width,temperature,weight_decay,sampling_decay,n_epochs,status,the_dir,result.lp_ensemble,result.lp_last,result.acc_ensemble,result.acc_last,result.ece,result.ace,result.rmsce,calibration.acc_ensemble,calibration.acc_last,calibration.ace,calibration.ece,calibration.lp_ensemble,calibration.lp_last,calibration.rmsce,calibration.auprc,calibration.auroc,ood.acc_ensemble,ood.acc_last,ood.ace,ood.ece,ood.lp_ensemble,ood.lp_last,ood.rmsce,ood.auprc,ood.auroc
0,0.05,0.9,googleresnet,cifar10,64,0.0,0.0,stairs,600,COMPLETED,../logs/0_31_googleresnet_cifar10_sgd/189,-1.2520679074140946,-1.2658947289943696,0.8378999829292297,0.8374000191688538,0.13056136897863538,0.02579158099288455,0.019405217015070125,0.6001399755477905,0.5966200232505798,0.06806117522889012,0.32951595369701314,-3.573658938214611,-3.645179880838394,0.016901995264299724,,,0.12753534317016602,0.1270359605550766,,,-12.726825273720936,-12.732367715955734,,0.7186048674355089,0.8316193319760296
1,0.05,0.9,classificationdensenet,mnist,64,0.0,0.0,stairs,600,COMPLETED,../logs/0_31_googleresnet_cifar10_sgd/197,-0.13651625376572277,-0.13671298117637634,0.9801999926567078,0.9801999926567078,0.015693252689955445,0.002182177926503638,0.005410797002157092,0.7654333114624023,0.7653999924659729,0.04158407812394812,0.20803282483116797,-3.988029240118573,-3.999144559343656,0.017409394838104757,,,0.04879999905824661,0.04879999905824661,,,-23.16395963696479,-23.237788906812668,,0.8707424219303479,0.909341155
2,0.05,0.9,classificationdensenet,mnist,64,0.0,0.0,stairs,600,COMPLETED,../logs/0_31_googleresnet_cifar10_sgd/181,-0.13971355729009446,-0.13993349463939667,0.9805999994277954,0.9805999994277954,0.015233507715999624,0.00192329788791606,0.005058099633974972,0.767133355140686,0.7670999765396118,0.04066686274824264,0.20629403412115346,-3.7753948338493064,-3.7861469654083253,0.017447525612711914,,,0.07370000332593918,0.07370000332593918,,,-22.65312738185655,-22.72728315551281,,0.8682608908294587,0.90445659
3,0.05,0.9,classificationconvnet,mnist,64,0.0,0.0,stairs,600,COMPLETED,../logs/0_31_googleresnet_cifar10_sgd/173,-0.0636398147846691,-0.06376151113510131,0.9908999800682068,0.9908999800682068,0.007522927310222243,0.0008054506710436317,0.002960334575159013,0.812666654586792,0.8127666711807251,0.031828296024641246,0.1668159817014432,-3.445489840369795,-3.457894590655963,0.015219888251279283,,,0.08479999750852585,0.08470000326633453,,,-15.451414580944466,-15.507717267525196,,0.9411938396987738,0.9589999899999999
4,0.05,0.9,googleresnet,cifar10,64,0.0,0.0,stairs,600,COMPLETED,../logs/0_31_googleresnet_cifar10_sgd/55,-1.2624401526525055,-1.2772642094373703,0.8328999876976013,0.8330000042915344,0.1336964804432773,0.026491562414074403,0.01960058231131148,0.597819983959198,0.5942000150680542,0.06932092042135117,0.3389326350357094,-3.9299170486812667,-4.036837598571777,0.017033617319007162,,,0.13122311234474182,0.13249078392982483,,,-18.673406333367794,-19.02713522663055,,0.44305790531825,0.6746219748770743
5,0.05,0.9,classificationdensenet,mnist,64,0.0,0.0,stairs,600,COMPLETED,../logs/0_31_googleresnet_cifar10_sgd/72,-0.15701945141532903,-0.15725194981098176,0.9778000116348267,0.9778000116348267,0.01854634151826266,0.002275947045920277,0.006394926511401841,0.7606333494186401,0.760533332824707,0.04162293628069954,0.21327127451852973,-4.220643134699965,-4.231548125433922,0.01767137365885473,,,0.09989999979734421,0.10000000149011612,,,-24.245089197796826,-24.31830574862957,,0.8584052952863651,0.8938562600000002
6,0.05,0.9,classificationdensenet,mnist,64,0.0,0.0,stairs,600,COMPLETED,../logs/0_31_googleresnet_cifar10_sgd/192,-0.13608236373507698,-0.13629527978897094,0.9794999957084656,0.9794999957084656,0.016581081383054017,0.0021851300858420617,0.0054619416953918766,0.7673333287239075,0.7674000263214111,0.04057155041499386,0.20748895396554984,-4.041963039201691,-4.053553302065532,0.017136284654096248,,,0.0723000019788742,0.07240000367164612,,,-25.67687869177865,-25.763581063818933,,0.8270324594916176,0.87439153
7,0.05,0.9,classificationconvnet,fashion_mnist,64,0.0,0.0,stairs,600,COMPLETED,../logs/0_31_googleresnet_cifar10_sgd/67,-1.597134633105479,-1.6032045964241028,0.9059000015258789,0.9057000279426575,0.08621639808855838,0.01649422480026102,0.01631697354720377,0.9057999849319458,0.9057000279426575,0.015802566866707408,0.08338578902289394,-1.3746260873331302,-1.6032045484542847,0.015014130358711318,,,0.11060000211000443,0.11010000109672546,,,-44.12904725757331,-46.80263989419937,,0.6581802704206879,0.71554498
8,0.05,0.9,classificationdensenet,mnist,64,0.0,0.0,stairs,600,COMPLETED,../logs/0_31_googleresnet_cifar10_sgd/169,-0.1488780133720815,-0.1491113263130188,0.9794999957084656,0.9794999957084656,0.01670284021995079,0.0023391939307286867,0.00564228225093744,0.7621333599090576,0.7621666789054871,0.042169449778624545,0.21230619956397587,-4.325843589611706,-4.337253733476003,0.017630320515880784,,,0.08299999684095383,0.08290000259876251,,,-25.29547068577537,-25.366352567386627,,0.887386227015948,0.91760951
9,0.05,0.9,classificationdensenet,fashion_mnist,64,0.0,0.0,stairs,600,COMPLETED,../logs/0_31_googleresnet_cifar10_sgd/64,-0.9933149735055476,-1.1779598919391632,0.881600022315979,0.8810999989509583,0.09606520891971213,0.01894039252773861,0.015888363090457405,0.8817999958992004,0.8810999989509583,0.01800537803447489,0.09110678817297505,-0.7795785368107021,-1.1779598479270934,0.015035188752572232,,,0.1581999957561493,0.15790000557899475,,,-27.601276133230876,-35.806350797176364,,0.686930927972585,0.71457653
10,0.05,0.9,classificationconvnet,mnist,64,0.0,0.0,stairs,600,COMPLETED,../logs/0_31_googleresnet_cifar10_sgd/61,-0.05596774142086034,-0.056080589485168454,0.9912999868392944,0.9912999868392944,0.007017131790765097,0.0007948108786153118,0.00316935171824376,0.8074666857719421,0.8074333071708679,0.03224599417495111,0.1728124540850562,-3.5835392422690093,-3.5965507575591404,0.015753233450126154,,,0.06790000200271606,0.06780000030994415,,,-15.2729923312751,-15.330669954824447,,0.9614763745585398,0.9707771700000001
11,0.05,0.9,classificationdensenet,fashion_mnist,64,0.0,0.0,stairs,600,COMPLETED,../logs/0_31_googleresnet_cifar10_sgd/177,-0.9908812155658561,-1.1660583149909973,0.8830999732017517,0.883400022983551,0.09372555205863427,0.018084810782063636,0.014778899047398828,0.8834999799728394,0.883400022983551,0.017122297672166612,0.0884599184832628,-0.7886492648202815,-1.1660583179473878,0.014065227696461676,,,0.12210000306367874,0.12330000102519989,,,-31.60167201412243,-40.451739618897435,,0.6732675392454212,0.70188076
12,0.05,0.9,googleresnet,cifar10_augmented,64,0.0,0.0,stairs,600,COMPLETED,../logs/0_31_googleresnet_cifar10_sgd/28,-0.6165302571324269,-0.6555448252439499,0.9028000235557556,0.9028000235557556,0.07321303183693739,0.01462384412829792,0.013433979022355007,0.5799199938774109,0.5780799984931946,0.070300505782023,0.33909816481335847,-3.698604385551777,-5.166851421470642,0.01781590723915556,,,0.11159342527389526,0.1122080534696579,,,-14.327375201944875,-18.859971894632473,,0.812478570661392,0.8509372080516289
